BlockSize,gpu__time_duration.avg,gpu__cycles_active.avg,l1tex__t_sector_hit_rate.pct,lts__t_sector_hit_rate.pct,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__sass_average_branch_targets_threads_uniform.pct,dram__throughput.max.pct_of_peak_sustained_elapsed
32,4342752,5985837,0,33.39,33.49,0,48.29
64,2251136,3095622,0,33.35,80.90,0,93.14
96,2252256,3103738,0,33.35,80.61,0,93.09
128,2247104,3090237,0,33.36,87.00,0,93.30
160,2253152,3099601,0,33.35,80.25,0,93.05
192,2251904,3097234,0,33.35,80.12,0,93.12
224,2267168,3120473,0,33.35,73.92,0,92.49
256,2246336,3094060,0,33.34,84.98,0,93.36
288,2284736,3145955,0,33.35,70.53,0,91.78
320,2258208,3107797,0,33.35,78.18,0,92.85
352,2596288,3575461,0,33.35,58.56,0,80.77
384,2408320,3314568,0,33.35,62.60,0,87.07
416,2351712,3240087,0,33.35,67.48,0,89.17
448,2290656,3153097,0,33.35,72.42,0,91.54
480,2270976,3123112,0,33.35,77.43,0,92.33
512,2251968,3096706,0,33.35,83.70,0,93.10
544,3328288,4583574,0,33.37,48.20,0,63.01
576,3189600,4393389,0,33.36,50.89,0,65.77
608,3082016,4240647,0,33.36,53.58,0,68.04
640,2943488,4050775,0,33.36,56.28,0,71.24
672,2880640,3972194,0,33.36,58.88,0,72.80
704,2790048,3850119,0,33.36,61.65,0,75.16
736,2726112,3759302,0,33.36,64.66,0,76.93
768,2623200,3620635,0,33.36,67.26,0,79.94
800,2588160,3571239,0,33.35,69.67,0,81.02
832,2521920,3481878,0,33.36,71.90,0,83.15
864,2450784,3380185,0,33.35,74.64,0,85.57
896,2399520,3308921,0,33.35,77.09,0,87.39
928,2385536,3292304,0,33.35,79.21,0,87.90
960,2344864,3234646,0,33.35,81.47,0,89.43
992,2318144,3194719,0,33.35,84.13,0,90.46
1024,2289184,3157829,0,33.35,86.72,0,91.60
